orf_name,Class D,Class C,Class B,Class A
chr_4614,K03699  tlyC; putative hemolysin,02042 Bacterial toxins,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4619,K02006  cbiO; cobalt/nickel transport system ATP-binding protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_4619,K02006  cbiO; cobalt/nickel transport system ATP-binding protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4620,K02008  cbiQ; cobalt/nickel transport system permease protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_4620,K02008  cbiQ; cobalt/nickel transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4622,K02007  cbiM; cobalt/nickel transport system permease protein,02010 ABC transporters,Membrane transport,Environmental Information Processing
chr_4622,K02007  cbiM; cobalt/nickel transport system permease protein,02000 Transporters,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4624,"K00281  GLDC, gcvP; glycine dehydrogenase","00260 Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism
chr_4624,"K00281  GLDC, gcvP; glycine dehydrogenase",00630 Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism
chr_4626,K08999  K08999; uncharacterized protein,99997 Function unknown,Poorly characterized,Not Included in Pathway or Brite
chr_4628,"K02437  gcvH, GCSH; glycine cleavage system H protein","00260 Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism
chr_4628,"K02437  gcvH, GCSH; glycine cleavage system H protein",00630 Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism
chr_4629,K08744  CRLS; cardiolipin synthase (CMP-forming),00564 Glycerophospholipid metabolism,Lipid metabolism,Metabolism
chr_4631,"K01908  ACSS3, prpE; propionyl-CoA synthetase",00640 Propanoate metabolism,Carbohydrate metabolism,Metabolism
chr_4631,"K01908  ACSS3, prpE; propionyl-CoA synthetase",01004 Lipid biosynthesis proteins,Protein families: metabolism,Brite Hierarchies
chr_4633,K12373  HEXA_B; hexosaminidase,00603 Glycosphingolipid biosynthesis - globo and isoglobo series,Glycan biosynthesis and metabolism,Metabolism
chr_4633,K12373  HEXA_B; hexosaminidase,00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_4633,K12373  HEXA_B; hexosaminidase,00531 Glycosaminoglycan degradation,Glycan biosynthesis and metabolism,Metabolism
chr_4633,K12373  HEXA_B; hexosaminidase,00513 Various types of N-glycan biosynthesis,Glycan biosynthesis and metabolism,Metabolism
chr_4633,K12373  HEXA_B; hexosaminidase,00604 Glycosphingolipid biosynthesis - ganglio series,Glycan biosynthesis and metabolism,Metabolism
chr_4633,K12373  HEXA_B; hexosaminidase,00511 Other glycan degradation,Glycan biosynthesis and metabolism,Metabolism
chr_4633,K12373  HEXA_B; hexosaminidase,04142 Lysosome,Transport and catabolism,Cellular Processes
chr_4633,K12373  HEXA_B; hexosaminidase,03110 Chaperones and folding catalysts,Protein families: genetic information processing,Brite Hierarchies
chr_4635,"K01252  entB, dhbB, vibB, mxcF; bifunctional isochorismate lyase / aryl carrier protein",01053 Biosynthesis of siderophore group nonribosomal peptides,Metabolism of terpenoids and polyketides,Metabolism
chr_4635,"K01252  entB, dhbB, vibB, mxcF; bifunctional isochorismate lyase / aryl carrier protein",01008 Polyketide biosynthesis proteins,Protein families: metabolism,Brite Hierarchies
chr_4636,"K02363  entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate-AMP ligase",01053 Biosynthesis of siderophore group nonribosomal peptides,Metabolism of terpenoids and polyketides,Metabolism
chr_4636,"K02363  entE, dhbE, vibE, mxcE; 2,3-dihydroxybenzoate-AMP ligase",01008 Polyketide biosynthesis proteins,Protein families: metabolism,Brite Hierarchies
chr_4637,K02361  entC; isochorismate synthase,00130 Ubiquinone and other terpenoid-quinone biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_4637,K02361  entC; isochorismate synthase,01053 Biosynthesis of siderophore group nonribosomal peptides,Metabolism of terpenoids and polyketides,Metabolism
chr_4638,"K00216  entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",01053 Biosynthesis of siderophore group nonribosomal peptides,Metabolism of terpenoids and polyketides,Metabolism
chr_4639,K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha,00061 Fatty acid biosynthesis,Lipid metabolism,Metabolism
chr_4639,K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha,00620 Pyruvate metabolism,Carbohydrate metabolism,Metabolism
chr_4639,K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha,00720 Carbon fixation pathways in prokaryotes,Energy metabolism,Metabolism
chr_4639,K01962  accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha,00640 Propanoate metabolism,Carbohydrate metabolism,Metabolism
chr_4640,K12429  fadD36; fatty acid CoA ligase FadD36,01004 Lipid biosynthesis proteins,Protein families: metabolism,Brite Hierarchies
chr_4641,"K05799  pdhR; GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex",03000 Transcription factors,Protein families: genetic information processing,Brite Hierarchies
chr_4649,"K03294  TC.APA; basic amino acid/polyamine antiporter, APA family",99977 Transport,Unclassified: signaling and cellular processes,Not Included in Pathway or Brite
chr_4661,"K10706  SETX, ALS4; senataxin",03021 Transcription machinery,Protein families: genetic information processing,Brite Hierarchies
chr_4689,K17947  wbiB; dTDP-L-rhamnose 4-epimerase,00523 Polyketide sugar unit biosynthesis,Metabolism of terpenoids and polyketides,Metabolism
chr_4691,K09931  K09931; uncharacterized protein,99997 Function unknown,Poorly characterized,Not Included in Pathway or Brite
chr_4693,K13483  yagT; xanthine dehydrogenase YagT iron-sulfur-binding subunit,00230 Purine metabolism,Nucleotide metabolism,Metabolism
chr_4694,K11178  yagS; xanthine dehydrogenase YagS FAD-binding subunit,00230 Purine metabolism,Nucleotide metabolism,Metabolism
chr_4695,K11177  yagR; xanthine dehydrogenase YagR molybdenum-binding subunit,00230 Purine metabolism,Nucleotide metabolism,Metabolism
chr_4715,K22770  K22770; stearoyl-CoA 9-desaturase NADPH oxidoreductase,01040 Biosynthesis of unsaturated fatty acids,Lipid metabolism,Metabolism
chr_4716,K22769  desA3; NADPH-dependent stearoyl-CoA 9-desaturase,01040 Biosynthesis of unsaturated fatty acids,Lipid metabolism,Metabolism
chr_4716,K22769  desA3; NADPH-dependent stearoyl-CoA 9-desaturase,01004 Lipid biosynthesis proteins,Protein families: metabolism,Brite Hierarchies
chr_4723,K05841  E2.4.1.173; sterol 3beta-glucosyltransferase,01003 Glycosyltransferases,Protein families: metabolism,Brite Hierarchies
chr_4726,K01265  map; methionyl aminopeptidase,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_4730,"K17735  lcdH, cdhA; carnitine 3-dehydrogenase",99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_4731,K11687  ADPRHL2; poly(ADP-ribose) glycohydrolase ARH3,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_4733,K00104  glcD; glycolate oxidase,00630 Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism
chr_4735,K03704  cspA; cold shock protein,99973 Transcription,Unclassified: genetic information processing,Not Included in Pathway or Brite
chr_4746,K17836  penP; beta-lactamase class A,00311 Penicillin and cephalosporin biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_4746,K17836  penP; beta-lactamase class A,01501 beta-Lactam resistance,Drug resistance: antimicrobial,Human Diseases
chr_4746,K17836  penP; beta-lactamase class A,01504 Antimicrobial resistance genes,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4748,K18258  CRYM; thiomorpholine-carboxylate dehydrogenase,04147 Exosome,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4755,K00104  glcD; glycolate oxidase,00630 Glyoxylate and dicarboxylate metabolism,Carbohydrate metabolism,Metabolism
chr_4757,K01771  plc; 1-phosphatidylinositol phosphodiesterase,00562 Inositol phosphate metabolism,Carbohydrate metabolism,Metabolism
chr_4758,K03929  pnbA; para-nitrobenzyl esterase,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_4761,"K01251  E3.3.1.1, ahcY; adenosylhomocysteinase",00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_4761,"K01251  E3.3.1.1, ahcY; adenosylhomocysteinase",01009 Protein phosphatases and associated proteins,Protein families: metabolism,Brite Hierarchies
chr_4761,"K01251  E3.3.1.1, ahcY; adenosylhomocysteinase",04147 Exosome,Protein families: signaling and cellular processes,Brite Hierarchies
chr_4762,"K00548  metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase",00670 One carbon pool by folate,Metabolism of cofactors and vitamins,Metabolism
chr_4762,"K00548  metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase",00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_4762,"K00548  metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase",00450 Selenocompound metabolism,Metabolism of other amino acids,Metabolism
chr_4764,K00789  metK; S-adenosylmethionine synthetase,00270 Cysteine and methionine metabolism,Amino acid metabolism,Metabolism
chr_4765,K00552  GNMT; glycine N-methyltransferase,"00260 Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism
chr_4766,K14466  K14466; 4-hydroxybutyrate---CoA ligase (AMP-forming),00720 Carbon fixation pathways in prokaryotes,Energy metabolism,Metabolism
chr_4767,"K01195  uidA, GUSB; beta-glucuronidase",00531 Glycosaminoglycan degradation,Glycan biosynthesis and metabolism,Metabolism
chr_4767,"K01195  uidA, GUSB; beta-glucuronidase",00944 Flavone and flavonol biosynthesis,Biosynthesis of other secondary metabolites,Metabolism
chr_4767,"K01195  uidA, GUSB; beta-glucuronidase",00040 Pentose and glucuronate interconversions,Carbohydrate metabolism,Metabolism
chr_4767,"K01195  uidA, GUSB; beta-glucuronidase",00860 Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,Metabolism
chr_4767,"K01195  uidA, GUSB; beta-glucuronidase",00983 Drug metabolism - other enzymes,Xenobiotics biodegradation and metabolism,Metabolism
chr_4767,"K01195  uidA, GUSB; beta-glucuronidase",04142 Lysosome,Transport and catabolism,Cellular Processes
chr_4768,"K01785  galM, GALM; aldose 1-epimerase",00010 Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism
chr_4768,"K01785  galM, GALM; aldose 1-epimerase",00052 Galactose metabolism,Carbohydrate metabolism,Metabolism
chr_4769,K22369  EPHX4; epoxide hydrolase 4,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
chr_4771,"K01652  E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit",00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_4771,"K01652  E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit",00660 C5-Branched dibasic acid metabolism,Carbohydrate metabolism,Metabolism
chr_4771,"K01652  E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit",00770 Pantothenate and CoA biosynthesis,Metabolism of cofactors and vitamins,Metabolism
chr_4771,"K01652  E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit","00290 Valine, leucine and isoleucine biosynthesis",Amino acid metabolism,Metabolism
chr_4776,"K11936  pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase",02026 Biofilm formation - Escherichia coli,Cellular community - prokaryotes,Cellular Processes
chr_4776,"K11936  pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase",01003 Glycosyltransferases,Protein families: metabolism,Brite Hierarchies
chr_4778,"K08678  UXS1, uxs; UDP-glucuronate decarboxylase",00520 Amino sugar and nucleotide sugar metabolism,Carbohydrate metabolism,Metabolism
chr_4780,K03606  wcaJ; putative colanic acid biosysnthesis UDP-glucose lipid carrier transferase,05111 Biofilm formation - Vibrio cholerae,Cellular community - prokaryotes,Cellular Processes
chr_4782,K17810  asl; D-aspartate ligase,99980 Enzymes with EC numbers,Unclassified: metabolism,Not Included in Pathway or Brite
chr_4787,K07438  CYP27B1; calcidiol 1-monooxygenase (25-hydroxyvitamin D3 1alpha-hydroxylase),00100 Steroid biosynthesis,Lipid metabolism,Metabolism
chr_4787,K07438  CYP27B1; calcidiol 1-monooxygenase (25-hydroxyvitamin D3 1alpha-hydroxylase),"04928 Parathyroid hormone synthesis, secretion and action",Endocrine system,Organismal Systems
chr_4787,K07438  CYP27B1; calcidiol 1-monooxygenase (25-hydroxyvitamin D3 1alpha-hydroxylase),05152 Tuberculosis,Infectious disease: bacterial,Human Diseases
chr_4787,K07438  CYP27B1; calcidiol 1-monooxygenase (25-hydroxyvitamin D3 1alpha-hydroxylase),00199 Cytochrome P450,Protein families: metabolism,Brite Hierarchies
chr_4791,"K00175  korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta",00720 Carbon fixation pathways in prokaryotes,Energy metabolism,Metabolism
chr_4791,"K00175  korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta",00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_4791,"K00175  korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta",00020 Citrate cycle (TCA cycle),Carbohydrate metabolism,Metabolism
chr_4791,"K00175  korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta",00010 Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism
chr_4791,"K00175  korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta",00620 Pyruvate metabolism,Carbohydrate metabolism,Metabolism
chr_4792,"K00174  korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha",00620 Pyruvate metabolism,Carbohydrate metabolism,Metabolism
chr_4792,"K00174  korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha",00020 Citrate cycle (TCA cycle),Carbohydrate metabolism,Metabolism
chr_4792,"K00174  korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha",00010 Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism
chr_4792,"K00174  korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha",00650 Butanoate metabolism,Carbohydrate metabolism,Metabolism
chr_4792,"K00174  korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha",00720 Carbon fixation pathways in prokaryotes,Energy metabolism,Metabolism
chr_4794,"K17231  IYD, DEHAL1; iodotyrosine deiodinase",04918 Thyroid hormone synthesis,Endocrine system,Organismal Systems
chr_4796,K21084  yegE; diguanylate cyclase,02026 Biofilm formation - Escherichia coli,Cellular community - prokaryotes,Cellular Processes
chr_4807,K15634  gpmB; probable phosphoglycerate mutase,"00260 Glycine, serine and threonine metabolism",Amino acid metabolism,Metabolism
chr_4807,K15634  gpmB; probable phosphoglycerate mutase,00680 Methane metabolism,Energy metabolism,Metabolism
chr_4807,K15634  gpmB; probable phosphoglycerate mutase,00010 Glycolysis / Gluconeogenesis,Carbohydrate metabolism,Metabolism
chr_4824,K00266  gltD; glutamate synthase (NADPH) small chain,00910 Nitrogen metabolism,Energy metabolism,Metabolism
chr_4824,K00266  gltD; glutamate synthase (NADPH) small chain,"00250 Alanine, aspartate and glutamate metabolism",Amino acid metabolism,Metabolism
chr_4825,K00265  gltB; glutamate synthase (NADPH) large chain,00910 Nitrogen metabolism,Energy metabolism,Metabolism
chr_4825,K00265  gltB; glutamate synthase (NADPH) large chain,"00250 Alanine, aspartate and glutamate metabolism",Amino acid metabolism,Metabolism
chr_4825,K00265  gltB; glutamate synthase (NADPH) large chain,01002 Peptidases and inhibitors,Protein families: metabolism,Brite Hierarchies
